DIRECTORIO,NRO_ENCUESTA,HOGAR_NUMERO,PERSONA_NUMERO,P606,P203,P2057,P2059,P2061,P2063,P2063S3,P2065,P2065S3,P3038,P3039
83217,252,1,1,1,1,2,2,2,1,,1,,1,2
83217,252,1,2,2,2,2,2,2,1,,1,,2,1
83217,252,1,3,1,1,2,2,2,1,,1,,2,1
83217,252,1,4,2,2,2,2,2,1,,1,,1,2
83217,252,1,6,1,1,2,2,2,1,,1,,1,2
83218,252,1,1,1,1,2,2,2,1,,1,,2,1
83218,252,1,2,4,2,2,2,2,1,,1,,1,2
83218,252,1,3,3,2,2,2,2,1,,1,,2,1
83219,252,1,1,4,2,2,2,2,1,,1,,2,1
83219,252,1,2,4,2,2,2,2,1,,1,,1,2
83219,252,1,3,4,2,2,2,2,1,,1,,1,2
83219,252,1,4,1,1,2,2,2,1,,1,,2,1
83220,252,1,1,2,2,2,2,2,1,,1,,1,2
83220,252,1,2,1,1,2,2,2,1,,1,,2,1
83220,252,1,4,4,2,2,2,2,1,,1,,1,2
83220,252,1,5,1,1,2,2,2,1,,1,,2,1
83221,252,1,1,1,2,2,2,2,1,,1,,2,1
83221,252,1,2,1,2,2,2,2,1,,1,,1,2
83222,252,1,1,6,1,2,2,2,1,,1,,2,1
83223,252,1,1,1,99,2,2,2,1,,1,,2,1
83223,252,1,2,1,99,2,2,2,1,,1,,1,1
83223,252,1,3,3,2,2,2,2,1,,1,,1,2
83224,252,1,1,1,99,2,2,2,1,,1,,1,2
83224,252,1,2,5,2,2,2,2,1,,1,,2,1
83225,252,1,1,1,2,2,2,2,1,,1,,1,2
83225,252,1,2,1,99,2,2,2,1,,1,,1,2
83225,252,1,3,1,99,2,2,2,1,,1,,2,1
83226,252,1,1,1,99,2,2,2,1,,1,,2,1
83226,252,1,2,1,99,2,2,2,1,,1,,1,2
83227,252,1,1,1,1,2,2,2,1,,1,,2,1
83227,252,1,2,1,1,2,2,2,1,,1,,1,2
83228,252,1,1,1,99,2,2,2,1,,1,,2,1
83228,252,1,2,1,99,2,2,2,1,,1,,2,1
83229,252,1,1,1,99,2,2,2,1,,1,,2,1
83229,252,1,2,3,2,2,2,2,1,,1,,1,2
83230,252,1,1,2,2,2,2,2,1,,1,,2,1
83230,252,1,2,1,99,2,2,2,1,,1,,1,2
83230,252,1,3,3,2,2,2,2,1,,1,,1,2
83230,252,1,4,3,2,2,2,2,1,,1,,2,1
83230,252,1,5,3,2,2,2,2,1,,1,,2,1
83230,252,1,6,1,2,2,2,2,1,,1,,1,2
83230,252,1,7,1,2,2,2,2,1,,1,,2,1
83231,252,1,1,4,2,2,2,2,1,,1,,1,2
83231,252,1,2,4,2,2,2,2,1,,1,,1,2
83231,252,1,3,4,2,2,2,2,1,,1,,1,2
83231,252,1,6,1,2,2,2,2,1,,1,,1,2
83231,252,1,9,2,2,2,2,2,1,,1,,2,1
83231,252,1,11,2,2,2,2,2,1,,1,,2,1
83231,252,1,12,4,2,2,2,2,1,,1,,1,2
83232,252,1,1,2,2,2,2,2,1,,1,,1,2
83232,252,1,2,1,1,2,2,2,1,,1,,2,1
83232,252,1,3,2,2,2,2,2,1,,1,,2,1
83232,252,1,4,2,1,2,2,2,1,,1,,2,1
83232,252,1,5,4,1,2,2,2,1,,1,,1,2
83232,252,1,8,2,2,2,2,2,1,,1,,2,1
83232,252,1,9,3,2,2,2,2,1,,1,,1,2
83232,252,1,10,3,2,2,2,2,1,,1,,1,2
83232,252,1,11,3,2,2,2,2,1,,1,,1,2
83233,252,1,1,1,1,2,2,2,1,,1,,1,2
83233,252,1,2,1,1,2,2,2,1,,1,,2,1
83234,252,1,1,4,2,2,2,2,1,,1,,1,2
83234,252,1,2,4,2,2,2,2,1,,1,,1,2
83234,252,1,3,1,1,2,2,2,1,,1,,2,1
83234,252,1,4,1,1,2,2,2,1,,1,,1,2
83234,252,1,6,1,1,2,2,2,1,,1,,2,1
83234,252,1,7,4,2,2,2,2,1,,1,,1,2
83235,252,1,1,1,1,2,2,2,2,,2,,2,1
83235,252,1,2,4,2,2,2,2,2,,2,,1,2
83236,252,1,1,1,1,2,2,2,1,,1,,2,1
83236,252,1,2,6,1,2,2,2,1,,1,,1,2
83237,252,1,1,2,2,2,2,2,1,,1,,2,1
83237,252,1,2,2,1,2,2,2,1,,1,,1,2
83237,252,1,3,3,2,2,2,2,1,,1,,1,2
83237,252,1,4,5,2,2,2,2,1,,1,,2,1
83238,252,1,1,1,99,2,2,2,1,,1,,2,1
83238,252,1,2,1,99,2,2,2,1,,1,,1,2
83238,252,1,3,1,99,2,2,2,1,,1,,1,2
83238,252,1,4,3,99,2,2,2,1,,1,,1,2
83239,252,1,1,4,2,2,2,2,1,,1,,2,1
83239,252,1,2,4,2,2,2,2,1,,1,,1,2
83240,252,1,1,1,99,2,2,2,1,,1,,1,2
83240,252,1,2,1,99,2,2,2,1,,1,,2,1
83241,252,1,1,4,2,2,2,2,1,,1,,1,2
83242,252,1,1,1,1,2,2,2,1,,1,,1,2
83242,252,1,2,4,2,2,2,2,1,,1,,1,2
83242,252,1,3,2,2,2,2,2,1,,1,,1,2
83242,252,1,4,2,2,2,2,2,1,,1,,2,1
83242,252,1,5,2,2,2,2,2,1,,1,,2,1
83243,252,1,1,1,99,2,2,2,1,,1,,1,2
83243,252,1,2,1,99,2,2,2,1,,1,,2,1
83244,252,1,1,4,2,2,2,2,1,,1,,1,2
83244,252,1,2,1,2,2,2,2,1,,1,,1,2
83245,252,1,1,4,1,2,2,2,1,,1,,2,1
83245,252,1,2,4,2,2,2,2,1,,1,,1,2
83246,252,1,1,1,1,2,2,2,1,,1,,2,1
83246,252,1,2,1,1,2,2,2,1,,1,,1,2
83246,252,1,3,3,2,2,2,2,1,,1,,2,1
83246,252,1,4,3,2,2,2,2,1,,1,,2,1
83247,252,1,1,1,1,2,2,2,1,,1,,2,1
83247,252,1,2,1,1,2,2,2,1,,1,,1,2
83248,252,1,1,1,1,2,2,2,1,,1,,2,1
83248,252,1,2,3,2,2,2,2,1,,1,,2,1
83249,252,1,1,1,99,2,2,2,1,,1,,2,1
83249,252,1,2,1,99,2,2,2,1,,1,,1,2
83249,252,1,3,1,99,2,2,2,1,,1,,1,2
83250,252,1,1,1,1,2,2,2,1,,1,,2,1
83250,252,1,2,1,1,2,2,2,1,,1,,1,2
83251,252,1,1,1,99,2,2,2,1,,1,,1,2
83252,252,1,1,4,1,2,2,2,1,,1,,2,1
83252,252,1,2,4,1,2,2,2,1,,1,,1,2
83252,252,1,3,3,2,2,2,2,1,,1,,1,2
83253,252,1,1,1,2,2,2,2,1,,3,1,2,1
83253,252,1,2,4,2,2,2,2,1,,3,1,1,2
83254,252,1,1,4,2,2,2,2,1,,1,,1,2
83254,252,1,2,4,2,2,2,2,1,,1,,1,2
83254,252,1,3,4,2,2,2,2,1,,1,,1,2
83254,252,1,4,4,2,2,2,2,1,,1,,1,2
83254,252,1,5,4,2,2,2,2,1,,1,,1,2
83255,252,1,1,1,99,2,2,2,1,,1,,2,1
83255,252,1,2,1,99,2,2,2,1,,1,,1,2
