DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
83217,2,,2,1,1,2,1,2,1,1,1,2,1,1,711.38758243,
83218,2,,2,1,1,2,1,1,1,1,1,3,1,1,1641.1292331,
83219,2,,2,1,1,2,1,1,1,1,1,3,1,1,1353.0283369,
83220,2,,2,1,1,2,1,2,1,1,1,7,1,1,1065.1956547,
83221,2,,2,1,1,1,1,3,1,1,1,3,1,1,861.69738352,
83222,2,,2,1,1,1,1,3,1,1,1,3,1,1,709.15624254,
83223,2,,2,1,1,2,1,3,1,1,1,3,1,1,839.62518698,
83224,2,,2,1,1,2,1,3,1,1,1,3,1,1,577.93176432,
83225,2,,2,1,1,2,1,3,1,1,1,3,1,1,732.44884414,
83226,2,,2,1,1,2,1,3,1,1,1,3,1,1,577.93176432,
83227,2,,2,1,1,1,1,3,1,1,1,3,1,1,863.67332235,
83228,2,,2,1,1,2,1,1,1,1,1,3,1,1,1017.7941804,
83229,2,,2,1,1,2,1,3,1,1,1,3,1,1,532.44289061,
83230,2,,2,1,1,1,1,1,1,1,1,3,1,1,1438.307284,
83231,2,,2,1,1,1,1,1,1,1,1,3,1,1,1329.9504836,
83232,2,,2,1,1,1,1,1,1,1,1,3,1,1,1102.4081897,
83233,2,,2,1,1,2,1,1,1,1,1,3,1,1,1261.6773287,
83234,2,,2,1,1,1,1,1,1,1,1,3,1,1,1172.7390549,
83235,2,,2,1,1,1,1,3,1,1,1,3,1,1,430.2576571,
83236,2,,2,1,1,2,1,3,1,1,1,3,1,1,490.65229448,
83237,2,,2,1,1,1,1,3,1,1,1,3,1,1,316.3712338,
83238,2,,2,1,1,2,1,4,1,1,1,3,1,1,1060.2501671,
83239,2,,2,1,1,2,1,4,1,1,1,3,1,1,751.31129362,
83240,2,,2,1,1,2,1,4,1,1,1,3,1,1,983.44607337,
83241,2,,2,1,1,2,1,4,1,1,1,3,1,1,887.55500825,
83242,2,,2,1,1,2,1,4,1,1,1,3,1,1,877.48274082,
83243,2,,2,1,1,2,1,4,1,1,1,3,1,1,1217.0123214,
83244,2,,2,1,1,2,1,4,1,1,1,3,1,1,856.29243226,
83245,2,,2,1,1,2,1,4,1,1,1,3,1,1,890.64053931,
83246,2,,2,1,1,2,1,4,1,1,1,3,1,1,943.09342387,
83247,2,,2,1,1,2,1,4,1,1,1,3,1,1,751.31129362,
83248,2,,2,1,1,2,1,4,1,1,1,3,1,1,925.26743675,
83249,2,,2,1,1,2,1,4,1,1,1,3,1,1,866.92269604,
83250,2,,2,1,1,2,1,4,1,1,1,3,1,1,1105.2072374,
83251,2,,2,1,1,2,1,4,1,1,1,3,1,1,806.86818932,
83252,2,,2,1,1,2,1,4,1,1,1,3,1,1,654.5897433,
83253,2,,2,1,1,2,1,4,1,1,1,3,1,1,683.01026693,
83254,2,,2,1,1,2,1,4,1,1,1,3,1,1,480.97583179,
83255,2,,2,1,1,2,1,4,1,1,1,3,1,1,1106.3748376,
83256,2,,2,1,1,2,1,4,1,1,1,3,1,1,651.78471506,
83257,2,,2,1,1,2,1,4,1,1,1,3,1,1,683.01026693,
83261,2,,2,1,1,1,1,3,1,1,1,3,1,1,701.37929116,
83262,2,,2,1,1,2,1,3,1,1,1,3,1,1,672.63518484,
83263,2,,2,1,1,1,1,2,1,1,1,3,1,1,893.28271589,
83264,2,,2,1,1,2,1,2,1,1,1,3,1,1,1009.3418629,
83265,2,,2,1,1,2,1,2,1,1,1,3,1,1,676.18016426,
83266,2,,2,1,1,2,1,2,1,1,1,3,1,1,1180.1243913,
83267,2,,2,1,1,1,1,2,1,1,1,3,1,1,676.18016426,
83268,2,,2,1,1,2,1,2,1,1,1,3,1,1,731.56882652,
83269,2,,2,1,1,1,1,2,1,1,1,3,1,1,885.10146604,
83270,2,,2,1,1,1,1,2,1,1,1,3,1,1,1038.6341055,
83271,2,,2,1,1,1,1,1,1,1,1,3,1,1,1165.1280096,
83272,2,,2,1,1,2,1,2,1,1,1,3,1,1,952.18349738,
83273,2,,2,1,1,2,1,3,1,1,1,3,1,1,1215.7279611,
83274,2,,2,1,1,2,1,3,1,1,1,3,1,1,1215.3582586,
83275,2,,2,1,1,2,1,3,1,1,1,3,1,1,1217.0123214,
83276,2,,2,1,1,2,1,3,1,1,1,3,1,1,1214.4436009,
83277,2,,2,1,1,2,1,3,1,1,1,3,1,1,921.9031153,
83278,2,,2,1,1,1,1,2,1,1,1,3,1,2,823.93064032,
83279,2,,2,1,1,1,1,3,1,1,1,3,1,1,751.31129362,
83280,2,,2,1,1,2,1,6,1,1,1,2,1,1,874.88985901,
83281,2,,2,1,1,2,1,5,1,1,1,2,1,1,850.52941018,
83282,2,,2,1,1,2,1,5,1,1,1,3,1,1,922.96004038,
83283,2,,2,1,1,2,1,5,1,1,1,3,1,1,1023.0415999,
83284,2,,2,1,1,2,1,5,1,1,1,2,1,1,585.43737165,
83285,2,,2,1,1,2,1,6,1,1,1,2,1,1,947.32048921,
83286,2,,2,1,1,1,1,1,1,2,2,,1,1,734.34472609,
83287,2,,2,1,1,1,1,0,2,1,1,3,1,1,776.0757998,
83288,2,,2,1,1,1,1,1,1,2,2,,1,1,966.63156101,
83289,2,,2,1,1,1,1,0,2,1,1,3,1,1,696.91641535,
83290,2,,2,1,1,1,1,0,2,2,2,,1,1,851.50476595,
83291,2,,2,1,1,2,1,1,1,2,2,,1,1,696.66395256,
83292,2,,2,1,1,1,1,1,1,2,1,2,1,1,646.26694192,
83293,2,,2,1,1,1,1,0,1,2,2,,1,1,696.66395256,
83294,2,,2,1,1,1,1,1,1,2,1,3,1,1,698.50875324,
83295,2,,2,1,1,1,1,1,1,1,1,3,1,1,1096.5122055,
83296,2,,2,1,1,1,1,0,2,1,1,3,1,1,1052.9974026,
83297,2,,2,1,1,1,1,1,1,1,1,3,1,1,939.00326983,
83298,2,,2,1,1,1,1,1,1,1,1,3,1,1,1134.6338228,
83300,2,,2,1,1,1,1,1,1,2,1,3,1,1,1086.1684188,
83301,2,,2,1,1,1,1,1,1,1,1,3,1,1,1156.2518137,
83302,2,,2,1,1,1,1,1,1,1,1,2,1,1,906.45306574,
83303,2,,2,1,1,1,1,1,1,1,1,3,1,1,1054.0371707,
83304,2,,2,1,1,1,1,1,1,1,1,3,1,1,910.12867692,
83305,2,,2,1,1,1,1,1,1,1,1,3,1,1,985.86384161,
83306,2,,2,1,1,1,1,0,2,2,2,,2,1,507.45325806,
83307,2,,2,1,1,1,1,0,2,2,2,,1,1,594.56344594,
83308,2,,2,1,1,1,1,0,2,2,2,,1,1,534.25779003,
83309,2,,2,1,1,1,1,0,2,2,2,,1,1,593.95848995,
83310,2,,2,1,1,1,1,0,1,1,2,,1,1,508.00636599,
83311,2,,2,1,1,1,1,0,2,1,2,,1,1,611.91631702,
83312,2,,2,1,1,1,1,0,2,2,2,,2,1,612.04807827,
83313,2,,2,1,1,1,1,0,1,1,1,1,1,1,612.04807827,
83314,2,,2,1,1,1,1,0,2,2,2,,1,1,575.2120976,
83315,2,,2,1,1,1,1,0,2,2,2,,1,1,506.79645402,
